TweetID,Source,Target
1338458025703559169,YayasanPulih,sweetsar5
1338458025703559169,YayasanPulih,chocolatadisco
1338458019600863240,YayasanPulih,sweetsar5
1338458012554432512,YayasanPulih,Liyaistikomah5
1338458012554432512,YayasanPulih,wdh_fh
1338458012554432512,YayasanPulih,sebatday
1338458012554432512,YayasanPulih,syafariah07
1338458012554432512,YayasanPulih,gladdarasha
1338458012554432512,YayasanPulih,devianafbayhaqi
1338458012554432512,YayasanPulih,dms_vn_o
1338458012554432512,YayasanPulih,ayusnita_21
1338458012554432512,YayasanPulih,itsmezizuna
1338458012554432512,YayasanPulih,sukasukasajelah
1338458012554432512,YayasanPulih,clairdelune_09
1338458012554432512,YayasanPulih,AnnisaYuliani5
1338458012554432512,YayasanPulih,kopisusv
1338458012554432512,YayasanPulih,babeinsomnia
1338428372901220352,thebodyshopindo,dwiana7179
1338428372901220352,thebodyshopindo,aloverofwordsss
1338428372901220352,thebodyshopindo,ayusnita_21
1338428372901220352,thebodyshopindo,irasjafii
1337721650289098754,lorongdemokrasi,Juniorternama
1337621157600641024,kitakatalis,kuesurvei
1337621157600641024,kitakatalis,renanthera_syam
1337621157600641024,kitakatalis,myassirullah
1337621157600641024,kitakatalis,arynpekik
1337621157600641024,kitakatalis,labuanbiru
1337621157600641024,kitakatalis,arbelaa
1337621157600641024,kitakatalis,nofiacr
1337621157600641024,kitakatalis,izetzeta
1337621157600641024,kitakatalis,rade_efp
1337621157600641024,kitakatalis,mrfebriananda
1337621157600641024,kitakatalis,Ariestanabirah
1337621157600641024,kitakatalis,mnbcxh
1337621157600641024,kitakatalis,mbahndi
1337621157600641024,kitakatalis,imraisaa
1337621157600641024,kitakatalis,plaiddshirt
1337468590799220736,lorongdemokrasi,Juniorternama
1337468590799220736,lorongdemokrasi,Arief_2792
1337370925822398465,neverokayprjct,osnapitzeyo
1337370925822398465,neverokayprjct,anaknyasabar
1337370925822398465,neverokayprjct,meowiee12
1337370925822398465,neverokayprjct,Nandymrf
1337359365142007808,YayasanPulih,obscguirite
1337359365142007808,YayasanPulih,astamandala_
1337359365142007808,YayasanPulih,netzukos
1337359365142007808,YayasanPulih,TiiBii
1337359365142007808,YayasanPulih,magdaleneid
1337359365142007808,YayasanPulih,Chealinks
1337359365142007808,YayasanPulih,glosslieur
1337359358796034048,YayasanPulih,gelangserut
1337359358796034048,YayasanPulih,Wijatnika45
1337359358796034048,YayasanPulih,kekezL
1337359358796034048,YayasanPulih,cacangak
1337359358796034048,YayasanPulih,spicyonigiri
1337359358796034048,YayasanPulih,Kak_uyeqwahyu
1337359358796034048,YayasanPulih,little_radha
1337359358796034048,YayasanPulih,xNananim
1337359358796034048,YayasanPulih,Ryujin_si
1337359358796034048,YayasanPulih,seylanajwa
1337359358796034048,YayasanPulih,TiiBii
1337359358796034048,YayasanPulih,magdaleneid
1337359358796034048,YayasanPulih,LRezzaaa
1337359358796034048,YayasanPulih,lelegurame
1337359358796034048,YayasanPulih,itsmezizuna
1337243059503894531,KomnasPerempuan,KepinganNada
1337243059503894531,KomnasPerempuan,SistersInDanger
1337243059503894531,KomnasPerempuan,nonaktif1122
1337243059503894531,KomnasPerempuan,safirasofif
1337243059503894531,KomnasPerempuan,andianisharfina
1337243059503894531,KomnasPerempuan,Morfo_Biru
1337243059503894531,KomnasPerempuan,gatauT_T
1337243059503894531,KomnasPerempuan,itsohdelicate
1337008531094921216,neverokayprjct,txtdariraraa
1337008531094921216,neverokayprjct,FriendlyFrost
1337008531094921216,neverokayprjct,caturjurgen
1337008531094921216,neverokayprjct,Unterhaching44
1336998903711854592,YayasanPulih,ndutimot
1336998903711854592,YayasanPulih,magdaleneid
1336998865296224256,YayasanPulih,chocociki
1336998865296224256,YayasanPulih,ndutimot
1336998865296224256,YayasanPulih,meiutasari
1336998865296224256,YayasanPulih,itsmezizuna
1336998865296224256,YayasanPulih,Manusiayaituorg
1336998865296224256,YayasanPulih,alnaliviaf
1336998865296224256,YayasanPulih,ranihajizah
1336998865296224256,YayasanPulih,kartikass9
1336998865296224256,YayasanPulih,dnrchmn
1336998865296224256,YayasanPulih,Hmmmajabingung
1336998865296224256,YayasanPulih,avindaww
1336998865296224256,YayasanPulih,gatauT_T
1336998865296224256,YayasanPulih,magdaleneid
1336998865296224256,YayasanPulih,ab_originae
1336993130378264576,frontmudarev,Vadjr
1336986250335510528,CakraWikara,womencoalition
1336986250335510528,CakraWikara,rymndgs
1336986250335510528,CakraWikara,DirgaArdiansa
1336981267317882885,savanisme,aliciamilea
1336981267317882885,savanisme,pumpiumpiumkinn
1336981267317882885,savanisme,hirovely
1336981267317882885,savanisme,VanneshaCP
1336981267317882885,savanisme,fitrinhelisa
1336981267317882885,savanisme,juyeonsn
1336981267317882885,savanisme,ArianneJustia
1336981267317882885,savanisme,gulasekilo
1336981267317882885,savanisme,ddeukkie
1336981267317882885,savanisme,plaiddshirt
1336981257545105416,savanisme,saostirram
1336981257545105416,savanisme,masiihpolos69
1336981257545105416,savanisme,mississipigal
1336981257545105416,savanisme,huluhuluk
1336981257545105416,savanisme,kesayanganjepri
1336981257545105416,savanisme,arizanaa_
1336981257545105416,savanisme,cacacyntia
1336981257545105416,savanisme,tr4shtwt_
1336981257545105416,savanisme,bypnib
1336981257545105416,savanisme,deinerippen
1336981257545105416,savanisme,auliafzyh
1336981257545105416,savanisme,sabitaula
1336981257545105416,savanisme,MELINDARISA
1336981257545105416,savanisme,vvvanteluV
1336957103710171137,thebodyshopindo,_Oktavia05
1336957103710171137,thebodyshopindo,safirasofif
1336957103710171137,thebodyshopindo,xhabixhabu
1336956452561285120,thebodyshopindo,larkspuretruby
1336956452561285120,thebodyshopindo,VindhTR
1336956452561285120,thebodyshopindo,Hikatopia
1336956452561285120,thebodyshopindo,vinafaradilaa
1336925251020603393,KomnasPerempuan,rohjeongeuihyun
1336925251020603393,KomnasPerempuan,RyzlAlasyaMyr
1336925251020603393,KomnasPerempuan,kaadita_
1336925251020603393,KomnasPerempuan,zulfitsaltsa_
1336925251020603393,KomnasPerempuan,SistersInDanger
1336925251020603393,KomnasPerempuan,kazlialexandria
1336925251020603393,KomnasPerempuan,shcsei
1336925251020603393,KomnasPerempuan,Morfo_Biru
1336925251020603393,KomnasPerempuan,TaufiqMarhaban
1336922068324007938,TaufiqMarhaban,TaufiqMarhaban
1336914189198131201,magdaleneid,sassyhalcyon
1336914189198131201,magdaleneid,shflyy_vee
1336914189198131201,magdaleneid,xxchutae
1336874637507010561,info_samsara,lengkuaskering
1336868243491917825,TirtoID,jerifnihcol
1336868243491917825,TirtoID,aniniyu
1336868243491917825,TirtoID,AnisLuthfi_
1336868243491917825,TirtoID,rugunator
1336868243491917825,TirtoID,Ifziw7
1336868243491917825,TirtoID,ryeotha1015
1336868243491917825,TirtoID,pistaubb
1336868243491917825,TirtoID,NoJustDoNot
1336868243491917825,TirtoID,ErickConstant14
1336868243491917825,TirtoID,kilaaaaaaaa_
1336868243491917825,TirtoID,antiquelaras
1336868243491917825,TirtoID,BhaskaraId
1336868243491917825,TirtoID,Syiva_AWd
1336868243491917825,TirtoID,WPBergerak
1336868243491917825,TirtoID,bertingkahh
1336856904895590400,ekky1995,AEPishere
1336843567654813698,LenteraID,osnapitzeyo
1336843567654813698,LenteraID,gelangserut
1336843567654813698,LenteraID,auntiiiiiperi
1336843567654813698,LenteraID,feministevent
1336843567654813698,LenteraID,Rastraa
1336843567654813698,LenteraID,ultimatetimhore
1336843567654813698,LenteraID,sl33pp4r4lysis
1336670207318736904,persatuanburuh,imnotimpos
1336670207318736904,persatuanburuh,dimseydtd
1336652477165314056,thebodyshopindo,cyrustcaskey
1336652477165314056,thebodyshopindo,tablorswift
1336652477165314056,thebodyshopindo,nindiyaap_
1336652477165314056,thebodyshopindo,magdaleneid
1336652477165314056,thebodyshopindo,WPBergerak
1336652477165314056,thebodyshopindo,AisyahMochammad
1336649290031091717,amasna,callme_dilly
1336649290031091717,amasna,AngryNeeson52_
1336649290031091717,amasna,humbugxyloto
1336643878825254913,feminiesm,20thcentuery
1336643878825254913,feminiesm,Roger177777
1336643878825254913,feminiesm,feminiesm
1336643878825254913,feminiesm,paussbelugaa
1336643878825254913,feminiesm,KelWhatYoung
1336643878825254913,feminiesm,anggialandegent
1336643878825254913,feminiesm,otsekare
1336643878825254913,feminiesm,adz_noona
1336643878825254913,feminiesm,adheliaAP
1336643878825254913,feminiesm,blessingsjae
1336643878825254913,feminiesm,artbykeea
1336643878825254913,feminiesm,Nuril_ZJ
1336643878825254913,feminiesm,ArsyEsthu
1336643878825254913,feminiesm,kittendaazs
1336643878825254913,feminiesm,ftrazura
1336623288819228673,ECPAT_Indonesia,Po3ttYy__
1336623288819228673,ECPAT_Indonesia,ncekmadur
1336623288819228673,ECPAT_Indonesia,ButterCupdanie1
1336605702903611398,mubadalah_id,oceanflyer1
1336592819805286401,magdaleneid,glistendark
1336592819805286401,magdaleneid,mewarisbara
1336592819805286401,magdaleneid,ghazyalfarras
1336592819805286401,magdaleneid,Marantika_Id
1336592819805286401,magdaleneid,johnpalitan
1336592819805286401,magdaleneid,healthierIDN
1336592819805286401,magdaleneid,mbaklobak
1336592819805286401,magdaleneid,NdangLulus
1336592819805286401,magdaleneid,flouricents
1336574421109075968,YayasanPulih,WPBergerak
1336574421109075968,YayasanPulih,ab_originae
1336564219878076417,suarpadma,osnapitzeyo
1336564219878076417,suarpadma,savra_dsp
1336564219878076417,suarpadma,vantiani
1336564219878076417,suarpadma,sadinaissad
1336564219878076417,suarpadma,FISHB4LL
1336564219878076417,suarpadma,ashtraygirrl
1336564219878076417,suarpadma,baulambung
1336539944483876865,YayasanPulih,ladytinaofc
1336539944483876865,YayasanPulih,curio_cherry
1336539944483876865,YayasanPulih,idhaumamah
1336539944483876865,YayasanPulih,berdoeritadjam
1336539944483876865,YayasanPulih,dedeelha
1336539944483876865,YayasanPulih,kucingcuan_
1336539944483876865,YayasanPulih,Egaogaoo
1336539944483876865,YayasanPulih,justbelbel
1336539944483876865,YayasanPulih,HilmyFarhan_
1336539944483876865,YayasanPulih,astamandala_
1336539944483876865,YayasanPulih,hurufkecil
1336534641373671424,tsuroiya,unggul_hp
1336534641373671424,tsuroiya,piokharisma
1336534641373671424,tsuroiya,ShyaReepah
1336445457149685762,magdaleneid,remajabadmood
1336445457149685762,magdaleneid,_fardarztl
1336445457149685762,magdaleneid,agnes_bemoe
1336445457149685762,magdaleneid,gatauT_T
1336445457149685762,magdaleneid,w_kobogau
1336445457149685762,magdaleneid,Batusarape
1336445457149685762,magdaleneid,saltYpotat0es
1336445457149685762,magdaleneid,joostarry
1336445457149685762,magdaleneid,siriussal
1336271691245207553,YayasanPulih,luceinecha
1336271691245207553,YayasanPulih,yokkolubis
1336271691245207553,YayasanPulih,itsmezizuna
1336271691245207553,YayasanPulih,utami_widya1
1336271691245207553,YayasanPulih,baby_alien28
1336197679718678528,spek_ham,Faizin_Merah
1336196661610074117,kitakatalis,CHOCOLAVAPPLE
1336196661610074117,kitakatalis,rhmaaaaa__
1336196661610074117,kitakatalis,bucIN_ie
1336196661610074117,kitakatalis,haniemaria
1336196661610074117,kitakatalis,rade_efp
1336196661610074117,kitakatalis,roselatea11
1336196661610074117,kitakatalis,fundandelion_
1336196661610074117,kitakatalis,laelatulrhmh
1336196661610074117,kitakatalis,miserevole
1336196661610074117,kitakatalis,minobumino
1336196661610074117,kitakatalis,novitadwiriynti
1336196661610074117,kitakatalis,nagotejena
1336196661610074117,kitakatalis,Vito_Kantohe
1336196661610074117,kitakatalis,roshswift
1336196661610074117,kitakatalis,Bellasyifa15_
1336181594340483079,YayasanPulih,IndoAusten
1336181594340483079,YayasanPulih,Dininopnopp
1336181594340483079,YayasanPulih,vantiani
1336181594340483079,YayasanPulih,bangbingbungyok
1336181594340483079,YayasanPulih,hellonovv
1336158332977987584,mardiasih,annamarizal_
1336158332977987584,mardiasih,arianggari
1336158332977987584,mardiasih,erniguno
1336158332977987584,mardiasih,cucuktrihidayat
1336158332977987584,mardiasih,tsoegi
1336158332977987584,mardiasih,amiqamiqoh
1336158332977987584,mardiasih,unggul_hp
1336158332977987584,mardiasih,esaparahita
1336158332977987584,mardiasih,ucokhresna
1336158332977987584,mardiasih,ahyunimiwa
1336158332977987584,mardiasih,AyuAprilli19
1336158332977987584,mardiasih,RohmaIstiana
1336158332977987584,mardiasih,cilor10rb
1336158332977987584,mardiasih,_hudhaa
1336158332977987584,mardiasih,afrisafdlh
1336158332977987584,mardiasih,OmKodoQ
1336158332977987584,mardiasih,chaaacil
1336158332977987584,mardiasih,nasfayaretno
1336116549317357568,widianitash,osnapitzeyo
1336116549317357568,widianitash,andinurfaizah
1336116549317357568,widianitash,swararahima
1336113731667775488,LenteraID,Triyaszoe
1336113731667775488,LenteraID,feministevent
1335934947668836354,islam_bergerak,FraksiRakyatID
1335903491236106240,YayasanPulih,itsmezizuna
1335903491236106240,YayasanPulih,ulfa_kamaruzali
1335903491236106240,YayasanPulih,ArianneJustia
1335903491236106240,YayasanPulih,yokkolubis
1335884983248904192,frontmudarev,RakyatPekerja
1335847527615086592,KomnasPerempuan,huluhuluk
1335847527615086592,KomnasPerempuan,Morfo_Biru
1335847527615086592,KomnasPerempuan,fiximix
1335847527615086592,KomnasPerempuan,SistersInDanger
1335847527615086592,KomnasPerempuan,tenriangke
1335847527615086592,KomnasPerempuan,radenmasdixx
1335847527615086592,KomnasPerempuan,TaufiqMarhaban
1335847527615086592,KomnasPerempuan,BohongJarang
1335847527615086592,KomnasPerempuan,AngrySipelebegu
1335847527615086592,KomnasPerempuan,najwaazhr
1335847527615086592,KomnasPerempuan,mosintuwu
1335847527615086592,KomnasPerempuan,manuellaaella
1335847527615086592,KomnasPerempuan,amorfrieden
1335826401979559937,YayasanPulih,Nfdo122
1335826401979559937,YayasanPulih,kyeoomi
1335826401979559937,YayasanPulih,vantiani
1335826401979559937,YayasanPulih,magdaleneid
1335822074116362240,islam_bergerak,Ivandarski
1335816707823206400,KAPAL_Perempuan,WPBergerak
1335770315213873152,LenteraID,feministevent
1335769141802721280,magdaleneid,FAdkiras
1335757440621547520,magdaleneid,siriussal
1335757440621547520,magdaleneid,manusia_jawa_1
1335570301141176321,islam_bergerak,cahya_orlando
1335570301141176321,islam_bergerak,Insideme11
1335570301141176321,islam_bergerak,Juniorternama
1335570301141176321,islam_bergerak,FraksiRakyatID
1335528121714372612,CakraWikara,DirgaArdiansa
1335494183411277831,magdaleneid,kokokdirgantoro
1335494183411277831,magdaleneid,ismiyatiayu
1335494183411277831,magdaleneid,muyassarisme
1335486634389872640,magdaleneid,agnes_bemoe
1335467824387510275,YayasanPulih,raikala
1335467824387510275,YayasanPulih,NdangLulus
1335467824387510275,YayasanPulih,suwanst
1335467824387510275,YayasanPulih,magdaleneid
1335467824387510275,YayasanPulih,vantiani
1335429271439855616,KAPAL_Perempuan,Perilotus
1335398823703658497,LenteraID,feministevent
1335397214605086723,RahayuSaraswati,Marhaenis23
1335397214605086723,RahayuSaraswati,DianaAurora96
